30,1,Noise0,target,6,28
30,1,Noise0,target,5,1
30,1,Noise0,target,4,1
30,1,Noise0,target,3,0
30,1,Noise0,target,2,0
30,1,Noise0,target,1,0
30,1,Noise0,lure,6,1
30,1,Noise0,lure,5,0
30,1,Noise0,lure,4,0
30,1,Noise0,lure,3,0
30,1,Noise0,lure,2,0
30,1,Noise0,lure,1,29
30,1,Noise1,target,6,27
30,1,Noise1,target,5,1
30,1,Noise1,target,4,1
30,1,Noise1,target,3,0
30,1,Noise1,target,2,0
30,1,Noise1,target,1,1
30,1,Noise1,lure,6,0
30,1,Noise1,lure,5,0
30,1,Noise1,lure,4,0
30,1,Noise1,lure,3,0
30,1,Noise1,lure,2,1
30,1,Noise1,lure,1,29
30,1,Noise2,target,6,25
30,1,Noise2,target,5,2
30,1,Noise2,target,4,1
30,1,Noise2,target,3,1
30,1,Noise2,target,2,0
30,1,Noise2,target,1,1
30,1,Noise2,lure,6,0
30,1,Noise2,lure,5,0
30,1,Noise2,lure,4,0
30,1,Noise2,lure,3,1
30,1,Noise2,lure,2,1
30,1,Noise2,lure,1,28
30,1,Noise3,target,6,23
30,1,Noise3,target,5,3
30,1,Noise3,target,4,1
30,1,Noise3,target,3,1
30,1,Noise3,target,2,1
30,1,Noise3,target,1,1
30,1,Noise3,lure,6,0
30,1,Noise3,lure,5,0
30,1,Noise3,lure,4,1
30,1,Noise3,lure,3,1
30,1,Noise3,lure,2,1
30,1,Noise3,lure,1,27
30,1,Noise4,target,6,21
30,1,Noise4,target,5,4
30,1,Noise4,target,4,2
30,1,Noise4,target,3,1
30,1,Noise4,target,2,1
30,1,Noise4,target,1,1
30,1,Noise4,lure,6,0
30,1,Noise4,lure,5,1
30,1,Noise4,lure,4,1
30,1,Noise4,lure,3,1
30,1,Noise4,lure,2,1
30,1,Noise4,lure,1,26
30,1,Noise5,target,6,20
30,1,Noise5,target,5,5
30,1,Noise5,target,4,2
30,1,Noise5,target,3,1
30,1,Noise5,target,2,1
30,1,Noise5,target,1,1
30,1,Noise5,lure,6,0
30,1,Noise5,lure,5,1
30,1,Noise5,lure,4,1
30,1,Noise5,lure,3,1
30,1,Noise5,lure,2,1
30,1,Noise5,lure,1,26
30,1,Noise6,target,6,17
30,1,Noise6,target,5,6
30,1,Noise6,target,4,3
30,1,Noise6,target,3,2
30,1,Noise6,target,2,1
30,1,Noise6,target,1,1
30,1,Noise6,lure,6,0
30,1,Noise6,lure,5,1
30,1,Noise6,lure,4,1
30,1,Noise6,lure,3,1
30,1,Noise6,lure,2,2
30,1,Noise6,lure,1,25
30,1,Noise7,target,6,16
30,1,Noise7,target,5,7
30,1,Noise7,target,4,3
30,1,Noise7,target,3,2
30,1,Noise7,target,2,1
30,1,Noise7,target,1,1
30,1,Noise7,lure,6,0
30,1,Noise7,lure,5,1
30,1,Noise7,lure,4,1
30,1,Noise7,lure,3,2
30,1,Noise7,lure,2,2
30,1,Noise7,lure,1,24
